Aria | Composer | Opera | Voice/Fach | PDF URL
------------------------------------------------------------------------------------------------------------------------
Jam pastor Apollo custodio greges nixus/我，牧羊人阿波罗，倚杖守护羊群 | Mozart, Wolfgang Amadeus | Apollo et Hyacinthus/阿波罗与雅辛托斯 | Apollo | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMCZwMT0yOSZwMj0zMiZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjElM0ErSyUzQSszOCUyRjAz&cc=5809fe8d0911e29875306a56f672cdae
En! Duos conspicis/看！你看见两个人 | Mozart, Wolfgang Amadeus | Apollo et Hyacinthus/阿波罗与雅辛托斯 | Zephyrus | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMCZwMT00NiZwMj00OCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjElM0ErSyUzQSszOCUyRjA1&cc=ca6ce8513b871c0ef7ecdfa77af7bcf7
Saepe terrent Numina/神祇常令人畏惧 | Mozart, Wolfgang Amadeus | Apollo et Hyacinthus/阿波罗与雅辛托斯 | Hyacinthus | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMCZwMT0yMCZwMj0yNSZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjElM0ErSyUzQSszOCUyRjAy&cc=8ff8e37fd407f56f1a865a96f78a8d16
Laetari iocari fruique divinis honoribus stat/欢愉嬉戏并享受神圣荣耀而立 | Mozart, Wolfgang Amadeus | Apollo et Hyacinthus/阿波罗与雅辛托斯 | Melia | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMCZwMT0zNSZwMj00MCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjElM0ErSyUzQSszOCUyRjA0&cc=eefb41363695a6b0315d80896c225275
Ut navis in aequore luxuriante per montes/如舟行浪峰越山峦 | Mozart, Wolfgang Amadeus | Apollo et Hyacinthus/阿波罗与雅辛托斯 | Oebalus | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMCZwMT03MCZwMj03OCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjElM0ErSyUzQSszOCUyRjA3&cc=18064750ff0f052558be63d9e263cbab
Ah di sì nobil/啊，如此高贵 | Mozart, Wolfgang Amadeus | Ascanio in Alba/阿尔巴的阿斯坎尼奥 | Ascanio | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zOSZwMT0xMjQmcDI9MTMxJmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNSUzQStLJTNBKzExMSUyRjE2&cc=69faee1b499660ee8681bceedad270bf
Al mio ben mi veggio avanti/我亲爱的就在我面前 | Mozart, Wolfgang Amadeus | Ascanio in Alba/阿尔巴的阿斯坎尼奥 | Ascanio | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zOSZwMT0xOTUmcDI9MjAwJmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNSUzQStLJTNBKzExMSUyRjIy&cc=2fb7c50d395f4cf0a989222dccd9687f
Cara, lontano/亲爱的，远方的 | Mozart, Wolfgang Amadeus | Ascanio in Alba/阿尔巴的阿斯坎尼奥 | Ascanio | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zOSZwMT01MyZwMj02MCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjUlM0ErSyUzQSsxMTElMkYwNQ==&cc=23763b5e1bc9fd91cf2d101ecad5c21a
Torna mia bene/归来吧，我的爱人 | Mozart, Wolfgang Amadeus | Ascanio in Alba/阿尔巴的阿斯坎尼奥 | Ascanio | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zOSZwMT0yMTUmcDI9MjIxJmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNSUzQStLJTNBKzExMSUyRjI1&cc=2bd233ac568012c62e9f0d7429a95639
Dal tuo gentil sembiante/你温柔的面容 | Mozart, Wolfgang Amadeus | Ascanio in Alba/阿尔巴的阿斯坎尼奥 | Fauno | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zOSZwMT0xNzkmcDI9MTk0Jmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNSUzQStLJTNBKzExMSUyRjIx&cc=c05ffcd3c6ebe34be225141d03359075
Se il labbro più no dice/若双唇不再倾诉 | Mozart, Wolfgang Amadeus | Ascanio in Alba/阿尔巴的阿斯坎尼奥 | Fauno | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zOSZwMT02OSZwMj03MiZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjUlM0ErSyUzQSsxMTElMkYwOA==&cc=09c0d07684e466546e8e6b7daece6458
Come è felice stato/多么幸福的时光 | Mozart, Wolfgang Amadeus | Ascanio in Alba/阿尔巴的阿斯坎尼奥 | Silvia | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zOSZwMT0xMDkmcDI9MTE5Jmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNSUzQStLJTNBKzExMSUyRjE0&cc=c2cd8dcc49de5858d1e139e6f02caf7c
Infelici affetti miei/我不幸的情感 | Mozart, Wolfgang Amadeus | Ascanio in Alba/阿尔巴的阿斯坎尼奥 | Silvia | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zOSZwMT0yMDUmcDI9MjEyJmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNSUzQStLJTNBKzExMSUyRjIz&cc=81de600cd479ec147c314dd5ed253094
Si, ma d'un altro amore/是的，但那是另一份爱 | Mozart, Wolfgang Amadeus | Ascanio in Alba/阿尔巴的阿斯坎尼奥 | Silvia | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zOSZwMT0xMDImcDI9MTA0Jmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNSUzQStLJTNBKzExMSUyRjEz&cc=ab63038b9b58c493d97f1e55a9a131e3
Spiega il desio le pinme/欲望展翅飞翔 | Mozart, Wolfgang Amadeus | Ascanio in Alba/阿尔巴的阿斯坎尼奥 | Silvia | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zOSZwMT0xNDYmcDI9MTYyJmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNSUzQStLJTNBKzExMSUyRjE5&cc=66d17699231f655f9a04068f3bfd34a9
Al chiaror di que' bei rai/在那美丽光芒的照耀下 | Mozart, Wolfgang Amadeus | Ascanio in Alba/阿尔巴的阿斯坎尼奥 | Venus | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zOSZwMT0xMzQmcDI9MTM4Jmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNSUzQStLJTNBKzExMSUyRjE3&cc=61d032a97d1c9a8ca3c96e71ca2dc920
L'ombra de rami tuoi/你的树荫下 | Mozart, Wolfgang Amadeus | Ascanio in Alba/阿尔巴的阿斯坎尼奥 | Venus | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zOSZwMT0yNiZwMj0zNyZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjUlM0ErSyUzQSsxMTElMkYwMw==&cc=81946f2678df985cdd2110a0c188fad1
Per la gioja in questo seno/为这心中的喜悦 | Mozart, Wolfgang Amadeus | Ascanio in Alba/阿尔巴的阿斯坎尼奥 | Aceste | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zOSZwMT05MSZwMj05OSZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjUlM0ErSyUzQSsxMTElMkYxMg==&cc=2bda064efff9a37ddb8515b3aab0978b
Sento che il cor mi dice/我听到我的心在诉说 | Mozart, Wolfgang Amadeus | Ascanio in Alba/阿尔巴的阿斯坎尼奥 | Aceste | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zOSZwMT0yMjUmcDI9MjMwJmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNSUzQStLJTNBKzExMSUyRjI3&cc=3bc179a7f7646c73da925f71d36708ee
Befraget mich ein zartes Kind/若有个温柔的孩子问我 | Mozart, Wolfgang Amadeus | Bastien und Bastienne/巴斯蒂安与巴斯蒂安娜 | Colas | http://theoperadatabase.com/PDFs/Mozart/Bass/Befraget%20mich%20ein%20zartes%20Kind.pdf
Diggi, daggi, shurry, murry/嘀叽，嗒叽，嘘哩，哞哩 | Mozart, Wolfgang Amadeus | Bastien und Bastienne/巴斯蒂安与巴斯蒂安娜 | Colas | http://theoperadatabase.com/PDFs/Mozart/Bass/Diggi%20daggi%20shurry%20murry.pdf
Er war mir sonst treu und ergeben/他曾对我忠诚又顺从 | Mozart, Wolfgang Amadeus | Bastien und Bastienne/巴斯蒂安与巴斯蒂安娜 | Bastienne | http://theoperadatabase.com/PDFs/Mozart/Soprano/Er%20war%20mir%20sonst%20treu%20und%20ergeben.pdf
Ich geh' jetzt auf die Weide/我此刻走向牧场 | Mozart, Wolfgang Amadeus | Bastien und Bastienne/巴斯蒂安与巴斯蒂安娜 | Bastienne | http://theoperadatabase.com/PDFs/Mozart/Soprano/Ich%20geh%20jetzt%20auf%20die%20Weide.pdf
Ich will mich in die Stadt begeben/我愿前往城中 | Mozart, Wolfgang Amadeus | Bastien und Bastienne/巴斯蒂安与巴斯蒂安娜 | Bastienne | http://theoperadatabase.com/PDFs/Mozart/Soprano/Ich%20will%20mich%20in%20die%20Stadt%20begeben.pdf
Mein liebster Freund/我最亲爱的朋友 | Mozart, Wolfgang Amadeus | Bastien und Bastienne/巴斯蒂安与巴斯蒂安娜 | Bastienne | http://theoperadatabase.com/PDFs/Mozart/Soprano/Mein%20liebster%20Freund.pdf
Wenn mein Bastien einst im Scherze/当我的巴斯蒂安偶尔开玩笑时 | Mozart, Wolfgang Amadeus | Bastien und Bastienne/巴斯蒂安与巴斯蒂安娜 | Bastienne | http://theoperadatabase.com/PDFs/Mozart/Soprano/Wenn%20mein%20Bastien%20einst%20im%20Scherze.pdf
Würd'ich auch wie manche Buhlerinnen/即便我像那些卖弄风情的女人 | Mozart, Wolfgang Amadeus | Bastien und Bastienne/巴斯蒂安与巴斯蒂安娜 | Bastienne | http://theoperadatabase.com/PDFs/Mozart/Soprano/Wurd%20ich%20auch%20wie%20manche%20Buhlerinnen.pdf
Geh' hin! dein Trotz soll mich nicht schrecken/去吧！你的倔强吓不倒我 | Mozart, Wolfgang Amadeus | Bastien und Bastienne/巴斯蒂安与巴斯蒂安娜 | Bastien | http://theoperadatabase.com/PDFs/Mozart/Tenor/Geh%20hin%20dein%20Trotz%20soll%20mich%20nicht%20schrecken.pdf
"Geh'! du sagst mir eine Fabel"/"去吧！你对我说的都是童话" | Mozart, Wolfgang Amadeus | Bastien und Bastienne/巴斯蒂安与巴斯蒂安娜 | Bastien | http://theoperadatabase.com/PDFs/Mozart/Tenor/Geh%20du%20sagst%20mir%20eine%20Fabel.pdf
Grossen Dank dir abzustatten/向你致以深深的谢意 | Mozart, Wolfgang Amadeus | Bastien und Bastienne/巴斯蒂安与巴斯蒂安娜 | Bastien | http://theoperadatabase.com/PDFs/Mozart/Tenor/Grossen%20Dank%20dir%20abzustatten.pdf
Meiner Liebsten schöne Wangen/吾爱红颜 | Mozart, Wolfgang Amadeus | Bastien und Bastienne/巴斯蒂安与巴斯蒂安娜 | Bastien | http://theoperadatabase.com/PDFs/Mozart/Tenor/Meiner%20Liebsten%20schone%20Wangen.pdf
Donne mie, le fate a tanti/女人们啊，你们总是如此 | Mozart, Wolfgang Amadeus | Così fan tutte/女人皆如此 | Guglielmo | http://theoperadatabase.com/PDFs/Mozart/Baritone/Donne%20mie%20le%20fate%20a%20tanti.pdf
Non siate ritrosi/莫要羞怯 | Mozart, Wolfgang Amadeus | Così fan tutte/女人皆如此 | Guglielmo | http://theoperadatabase.com/PDFs/Mozart/Baritone/Non%20siate%20ritrosi.pdf
Rivolgete a lui lo sguardo/请将目光转向他 | Mozart, Wolfgang Amadeus | Così fan tutte/女人皆如此 | Guglielmo | http://theoperadatabase.com/PDFs/Mozart/Baritone/Rivolgete%20a%20lui%20lo%20sguardo.pdf
Tutti accusan le donne/女人皆如此 | Mozart, Wolfgang Amadeus | Così fan tutte/女人皆如此 | Don Alfonso | http://theoperadatabase.com/PDFs/Mozart/Bass/Tutti%20accusan%20le%20donne.pdf
Vorrei dir, e cor non ho/欲言又止 | Mozart, Wolfgang Amadeus | Così fan tutte/女人皆如此 | Don Alfonso | http://theoperadatabase.com/PDFs/Mozart/Bass/Vorrei%20dir%20e%20cor%20non%20ho.pdf
É amore un ladroncello/爱是个小偷 | Mozart, Wolfgang Amadeus | Così fan tutte/女人皆如此 | Dorabella | http://theoperadatabase.com/PDFs/Mozart/Soprano/E%20amore%20un%20ladroncello.pdf
Smanie implacabili che m'agitate/那可怕的疯狂在我心中激荡 | Mozart, Wolfgang Amadeus | Così fan tutte/女人皆如此 | Dorabella | http://theoperadatabase.com/PDFs/Mozart/Mezzo/Smanie%20implacabili.pdf
In uomini, in soldati/在男人中，在士兵中 | Mozart, Wolfgang Amadeus | Così fan tutte/女人皆如此 | Despina | http://theoperadatabase.com/PDFs/Mozart/Soprano/In%20uomini%20in%20soldati.pdf
Una donna a quindici anni/十五岁的少女 | Mozart, Wolfgang Amadeus | Così fan tutte/女人皆如此 | Despina | http://theoperadatabase.com/PDFs/Mozart/Soprano/Una%20donna%20a%20quindici%20anni.pdf
Come scoglio immoto resta/如磐石般坚定不移 | Mozart, Wolfgang Amadeus | Così fan tutte/女人皆如此 | Fiordiligi | http://theoperadatabase.com/PDFs/Mozart/Soprano/Come%20scoglio%20immoto%20resta.pdf
Per pietà, ben mio, perdona/求求你，我的爱人，请宽恕 | Mozart, Wolfgang Amadeus | Così fan tutte/女人皆如此 | Fiordiligi | http://theoperadatabase.com/PDFs/Mozart/Soprano/Per%20pieta%20ben%20mio%20perdona.pdf
Ah lo veggio quell'anima bella/啊，我看见了那美丽的灵魂 | Mozart, Wolfgang Amadeus | Così fan tutte/女人皆如此 | Ferrando | http://theoperadatabase.com/PDFs/Mozart/Tenor/Ah%20lo%20veggio%20quell%20anima%20bella.pdf
Tradito, schernito/被背叛，被嘲弄 | Mozart, Wolfgang Amadeus | Così fan tutte/女人皆如此 | Ferrando | http://theoperadatabase.com/PDFs/Mozart/Tenor/Tradito%20schernito.pdf
